Q1	experiment_randomization1	Q2	Q5	Q6	Q8	experiment_randomization2	Q12	Q13	Q14	Q15	pid3	pid7	gender4	age4	race4	weight
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Man"	"45-64"	"White"	0.934693861
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.546305444
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A great deal"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.667994454
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"Yes"	"A great deal"	"Republican/Republican focus"	"Tennessee"	"Strongly support"	"Justified"	"No"	"Democrat"	"Strong Democrat"	"Man"	"30-44"	"White"	0.624565487
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.030890041
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.654300615
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.534590613
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"45-64"	"White"	0.960077005
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.835347565
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"A great deal"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"65+"	"White"	0.754517336
"I agree to participate"	"Experimental group"	"i agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.822596706
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.546305444
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.044895292
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.533622971
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.05510776
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.165995326
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.523065483
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.628712965
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.817338476
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.817338476
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"Other"	0.35374508
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.523065483
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	0.55834264
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"65+"	"White"	0.771386944
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"Other"	1.042450908
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.534590613
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.987717668
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Tennessee"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.645897755
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Michigan"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.702319089
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"45-64"	"White"	1.99080003
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.799463946
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"45-64"	"White"	1.040965626
"I agree to participate"	"Control group"	"__NA__"	"Photo A - Trump Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"65+"	"White"	0.642455763
"I agree to participate"	"Experimental group"	"\" I agree\""	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.647895872
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.523065483
"I agree to participate"	"Experimental group"	"I Agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Man"	"65+"	"White"	0.788383545
"I agree to participate"	"Experimental group"	"\"I agree\""	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Neither support nor oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"45-64"	"White"	0.768725452
"I agree to participate"	"Experimental group"	"\"I agree\""	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.523065483
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"White"	1.603916008
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Oregon"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	0.518002693
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.698576427
"I agree to participate"	"Experimental group"	"I agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Not very strong Democrat"	"Woman"	"65+"	"White"	0.599165504
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Iowa"	"Oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Woman"	"45-64"	"White"	0.667994454
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"65+"	"White"	0.717017905
"I agree to participate"	"Experimental group"	"i agree"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Man"	"65+"	"White"	0.799463946
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Democrat/Democratic focus"	"Tennessee"	"Strongly oppose"	"Unjustified"	"Yes"	"Republican"	"Strong Republican"	"Man"	"45-64"	"White"	0.656324727
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Justified"	"Yes"	"Republican"	"Not very strong Republican"	"Woman"	"65+"	"Other"	1.029063226
"I agree to participate"	"Control group"	"__NA__"	"Photo B - Obama Inauguration"	"No"	"Not at all"	"Republican/Republican focus"	"Iowa"	"Strongly oppose"	"Unjustified"	"Yes"	"Democrat"	"Strong Democrat"	"Woman"	"65+"	"White"	1.05510776
