Q4,Q5,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30_2,Q31_2,Q77,Q63,Q64,Q65,Q66,Q67,Q68,Q75,Q69,Q70,Q71,Q72,Q73,Q43,Q44,Q45,Q46,Q86,Q93_2,Q90_2,experiment,version,payprompt,gc,outparty,pid
Female,Asian,"Less than $30,000",4-year College Degree,Republican,NA,Not a strong Republican,NA,70,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,90,1 - Not at all,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,0,0,2,3,1,1,Democrat,Republican
Female,African American,"$70,000 – 79,999",Some College,Democrat,NA,NA,Strong Democrat,72,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100,0,1 - Not at all,1- Very unlike me,3,3,3,3,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,NA,NA,NA,NA,Oregon,98,25,2,2,2,1,Republican,Democrat
Male,White/Caucasian,"$40,000 – 49,999",Less than High School,Democrat,NA,NA,Strong Democrat,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,3,2,2,NA,NA
Male,Other (please specify),"$80,000 – 89,999",Some College,Democrat,NA,NA,Not a strong Democrat,25,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,83,30,1 - Not at all,4,3,3,3,3,3,3,3,3,4,4,2,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,1,1,1,Republican,Democrat
Female,African American,"$50,000 – 59,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,66,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100,0,1 - Not at all,1- Very unlike me,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,3,1,1,Republican,Democrat
Male,African American,"$50,000 – 59,999",Some College,Democrat,NA,NA,Strong Democrat,69,No,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,96,2,1 - Not at all,1- Very unlike me,3,3,1- Very unlike me,2,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,2,1,Republican,Democrat
Male,African American,"$30,000 – 39,999",High School / GED,Democrat,NA,NA,Strong Democrat,23,Yes,Yes,Yes,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,80,75,3,4,3,4,4,3,3,4,2,3,3,4,3,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,2,1,Republican,Democrat
Female,White/Caucasian,"Less than $30,000",High School / GED,Democrat,NA,NA,Not a strong Democrat,19,No,No,Yes,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,31,36,1 - Not at all,3,2,2,5- Very like me,3,2,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,3,Tennessee,Neither support nor oppose,Justified,Yes,NA,,,1,2,1,4,Republican,Democrat
Male,African American,"$90,000 – 99,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,35,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72,42,3,3,2,1- Very unlike me,2,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Alaska,70,60,2,2,2,1,Republican,Democrat
Female,African American,"$30,000 – 39,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,3,2,2,NA,NA
Female,African American,"Less than $30,000",2-year College Degree,Democrat,NA,NA,Not a strong Democrat,21,No,No,Yes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,95,11,1 - Not at all,1- Very unlike me,2,4,2,1- Very unlike me,4,2,2,1- Very unlike me,1- Very unlike me,4,2,NA,NA,NA,NA,Oregon,80,0,2,1,1,1,Republican,Democrat
Female,Asian,"$50,000 – 59,999",Less than High School,Democrat,NA,NA,Not a strong Democrat,18,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100,66,3,1- Very unlike me,2,4,2,2,2,2,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,36,40,2,3,2,1,Republican,Democrat
Male,African American,"Less than $30,000",2-year College Degree,Democrat,NA,NA,Strong Democrat,73,No,No,No,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,70,20,2,3,3,4,2,2,4,3,3,2,2,4,3,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,3,2,1,Republican,Democrat
Male,White/Caucasian,"$100,000 or more",4-year College Degree,Democrat,NA,NA,Strong Democrat,34,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,100,70,1 - Not at all,2,1- Very unlike me,4,3,4,5- Very like me,2,1- Very unlike me,4,1- Very unlike me,2,1- Very unlike me,NA,NA,NA,NA,Oregon,30,10,2,2,1,1,Republican,Democrat
Female,Asian,"$100,000 or more",High School / GED,Democrat,NA,NA,Strong Democrat,35,Yes,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,72,78,3,4,4,2,3,4,4,3,4,3,3,1- Very unlike me,3,NA,NA,NA,NA,Oregon,40,30,2,1,1,1,Republican,Democrat
Male,Asian,"$50,000 – 59,999",High School / GED,Democrat,NA,NA,Not a strong Democrat,21,No,No,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,80,57,1 - Not at all,4,3,4,1- Very unlike me,3,5- Very like me,5- Very like me,1- Very unlike me,2,5- Very like me,5- Very like me,5- Very like me,NA,NA,NA,NA,Louisiana,20,70,2,3,1,1,Republican,Democrat
Female,African American,"$30,000 – 39,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,29,Yes,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,54,0,1 - Not at all,3,2,4,1- Very unlike me,3,4,2,1- Very unlike me,2,1- Very unlike me,4,2,NA,NA,NA,NA,Florida,90,70,2,3,2,1,Republican,Democrat
Female,White/Caucasian,"$60,000 – 69,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,23,Yes,No,Yes,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,87,0,1 - Not at all,3,4,3,3,5- Very like me,4,3,2,3,3,4,3,NA,NA,NA,NA,Florida,100,0,2,3,2,4,Republican,Democrat
Male,White/Caucasian,"$100,000 or more",2-year College Degree,Republican,NA,Not a strong Republican,NA,32,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,40,70,1 - Not at all,1- Very unlike me,2,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,1,2,1,Democrat,Republican
Female,Asian,"$90,000 – 99,999",4-year College Degree,Democrat,NA,NA,Not a strong Democrat,31,No,No,No,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,62,63,4,4,4,4,4,4,4,4,4,4,3,4,3,NA,NA,NA,NA,Florida,50,30,2,1,1,1,Republican,Democrat
Female,African American,"Less than $30,000",Less than High School,Democrat,NA,NA,Strong Democrat,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,1,2,2,NA,NA
Male,White/Caucasian,"$100,000 or more",Some College,Democrat,NA,NA,Strong Democrat,47,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,91,6,1 - Not at all,5- Very like me,2,3,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,60,5,2,3,2,1,Republican,Democrat
Female,African American,"Less than $30,000",2-year College Degree,Democrat,NA,NA,Strong Democrat,59,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,52,6,1 - Not at all,1- Very unlike me,2,3,1- Very unlike me,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,3,NA,NA,NA,NA,Louisiana,80,50,2,1,2,1,Republican,Democrat
Female,African American,"Less than $30,000",4-year College Degree,Democrat,NA,NA,Not a strong Democrat,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,2,1,2,NA,NA
Male,White/Caucasian,"Less than $30,000",High School / GED,Democrat,NA,NA,Not a strong Democrat,40,No,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,78,42,1 - Not at all,2,3,4,2,3,1- Very unlike me,2,1- Very unlike me,2,1- Very unlike me,2,1- Very unlike me,NA,NA,NA,NA,Washington,70,40,2,1,1,1,Republican,Democrat
Male,White/Caucasian,"$60,000 – 69,999",Some College,Republican,NA,Strong Republican,NA,51,No,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,17,60,1 - Not at all,4,3,3,2,2,2,1- Very unlike me,2,2,3,3,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,3,1,1,Democrat,Republican
Male,White/Caucasian,"$40,000 – 49,999",Some College,Democrat,NA,NA,Strong Democrat,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,1,1,2,NA,NA
Female,Other (please specify),"$100,000 or more",Some College,Democrat,NA,NA,Strong Democrat,36,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,90,13,2,2,1- Very unlike me,2,1- Very unlike me,2,2,1- Very unlike me,2,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,80,20,2,1,1,1,Republican,Democrat
Male,White/Caucasian,"$90,000 – 99,999",Masters Degree,Democrat,NA,NA,Strong Democrat,35,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,97,88,5 - A great deal,5- Very like me,4,4,5- Very like me,5- Very like me,5- Very like me,4,4,5- Very like me,5- Very like me,4,4,NA,NA,NA,NA,Oregon,50,30,2,2,1,1,Republican,Democrat
Female,African American,"$30,000 – 39,999",4-year College Degree,Democrat,NA,NA,Not a strong Democrat,45,No,No,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,91,9,1 - Not at all,5- Very like me,4,5- Very like me,4,2,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,5- Very like me,2,Iowa,Oppose,Unjustified,Yes,NA,,,1,2,1,1,Republican,Democrat
Male,African American,"$70,000 – 79,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,1,2,2,NA,NA
Female,African American,"$40,000 – 49,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,58,No,No,Yes,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,81,57,1 - Not at all,1- Very unlike me,4,3,1- Very unlike me,3,4,2,2,3,3,2,2,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,3,2,1,Republican,Democrat
Female,African American,"Less than $30,000",Some College,Democrat,NA,NA,Strong Democrat,38,No,No,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,72,3,1 - Not at all,1- Very unlike me,4,4,5- Very like me,5- Very like me,5- Very like me,4,1- Very unlike me,5- Very like me,5- Very like me,5- Very like me,1- Very unlike me,NA,NA,NA,NA,Oregon,100,40,2,1,1,1,Republican,Democrat
Male,African American,"$100,000 or more","Professional Degree (JD, MD)",Democrat,NA,NA,Strong Democrat,35,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85,93,5 - A great deal,5- Very like me,5- Very like me,4,5- Very like me,5- Very like me,4,5- Very like me,4,5- Very like me,5- Very like me,4,5- Very like me,South Carolina,Strongly support,Justified,Yes,NA,,,1,3,2,4,Republican,Democrat
Male,White/Caucasian,"$100,000 or more",4-year College Degree,Republican,NA,Strong Republican,NA,36,No,No,Yes,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,92,96,3,1- Very unlike me,2,4,1- Very unlike me,1- Very unlike me,4,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,Oregon,Support,Justified,Yes,NA,,,1,2,2,1,Democrat,Republican
Male,Asian,"$70,000 – 79,999",4-year College Degree,Republican,NA,Strong Republican,NA,32,No,No,No,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,8,74,1 - Not at all,1- Very unlike me,2,2,1- Very unlike me,2,2,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,2,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,2,1,Democrat,Republican
Female,White/Caucasian,"Less than $30,000",2-year College Degree,Democrat,NA,NA,Strong Democrat,56,No,No,No,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,13,1 - Not at all,2,5- Very like me,5- Very like me,3,5- Very like me,5- Very like me,4,4,5- Very like me,1- Very unlike me,3,1- Very unlike me,NA,NA,NA,NA,Oregon,0,10,2,1,2,1,Republican,Democrat
Female,White/Caucasian,"$90,000 – 99,999",2-year College Degree,Republican,NA,Strong Republican,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,3,2,2,NA,NA
Female,African American,"$50,000 – 59,999",2-year College Degree,Democrat,NA,NA,Strong Democrat,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,2,2,2,NA,NA
Female,African American,"$30,000 – 39,999",Doctoral Degree,Democrat,NA,NA,Strong Democrat,47,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,100,2,1 - Not at all,1- Very unlike me,3,3,1- Very unlike me,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,California,45,25,2,1,2,1,Republican,Democrat
Male,Asian,"$40,000 – 49,999",Doctoral Degree,Democrat,NA,NA,Not a strong Democrat,68,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,71,57,1 - Not at all,2,3,2,2,2,3,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,NA,NA,NA,NA,Alaska,40,36,2,1,2,1,Republican,Democrat
Male,African American,"$50,000 – 59,999",High School / GED,Democrat,NA,NA,Not a strong Democrat,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,3,2,2,NA,NA
Male,Asian,"Less than $30,000",4-year College Degree,Republican,NA,Strong Republican,NA,47,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,97,0,4,3,3,3,2,4,5- Very like me,5- Very like me,5- Very like me,4,3,3,4,NA,NA,NA,NA,Washington,100,0,2,1,1,1,Democrat,Republican
Male,African American,"$50,000 – 59,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,1,1,2,NA,NA
Female,African American,"$40,000 – 49,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,79,Yes,Yes,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,69,49,1 - Not at all,1- Very unlike me,3,3,1- Very unlike me,2,2,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,47,56,2,3,1,1,Republican,Democrat
Male,Asian,"$50,000 – 59,999",4-year College Degree,Republican,NA,Strong Republican,NA,64,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,31,73,2,1- Very unlike me,2,2,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Alaska,10,50,2,2,1,1,Democrat,Republican
Male,Native American,"$30,000 – 39,999",Some College,Democrat,NA,NA,Strong Democrat,64,No,Yes,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,100,0,1 - Not at all,1- Very unlike me,5- Very like me,1- Very unlike me,3,1- Very unlike me,3,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,Oregon,Strongly oppose,Unjustified,Yes,NA,,,1,2,1,1,Republican,Democrat
Male,Other (please specify),"$30,000 – 39,999",Some College,Republican,NA,Strong Republican,NA,66,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,100,1 - Not at all,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,1,1,Democrat,Republican
Female,Asian,"$60,000 – 69,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,37,No,Yes,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83,75,5 - A great deal,4,3,3,2,5- Very like me,5- Very like me,3,4,4,5- Very like me,4,4,NA,NA,NA,NA,Texas,100,100,2,3,1,1,Republican,Democrat
Female,African American,"$50,000 – 59,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,3,2,2,NA,NA
Female,African American,"Less than $30,000",High School / GED,Democrat,NA,NA,Strong Democrat,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,3,2,2,NA,NA
Female,Asian,"$100,000 or more",High School / GED,Democrat,NA,NA,Strong Democrat,18,No,No,No,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,0,1 - Not at all,2,3,3,4,4,2,5- Very like me,1- Very unlike me,4,5- Very like me,5- Very like me,4,NA,NA,NA,NA,California,95,0,2,1,1,1,Republican,Democrat
Female,African American,"$100,000 or more",4-year College Degree,Democrat,NA,NA,Strong Democrat,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,2,1,2,NA,NA
Female,African American,"$100,000 or more",Masters Degree,Democrat,NA,NA,Strong Democrat,67,No,No,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,100,0,1 - Not at all,1- Very unlike me,2,1- Very unlike me,3,3,4,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,1,2,1,Republican,Democrat
Female,White/Caucasian,"$40,000 – 49,999",Some College,Republican,NA,Not a strong Republican,NA,71,No,No,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,60,79,1 - Not at all,2,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,5,0,2,3,1,1,Democrat,Republican
Male,White/Caucasian,"$30,000 – 39,999",High School / GED,Republican,NA,Strong Republican,NA,71,No,No,Yes,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,100,1 - Not at all,1- Very unlike me,2,1- Very unlike me,2,2,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,NA,NA,NA,NA,Oregon,0,0,2,1,2,1,Democrat,Republican
Female,African American,"$40,000 – 49,999",Some College,Democrat,NA,NA,Strong Democrat,71,No,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83,10,1 - Not at all,3,2,3,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,3,2,NA,NA,NA,NA,Oregon,40,70,2,2,2,1,Republican,Democrat
